student_id,activity_name,activity_category,registration_date,role,activity_level,hours_per_week,total_events_participated,achievement,status,faculty_coordinator
238,Robotics Club,Technical,2025-08-25,Member,Low,3,0,,Active,Ms. Amit Kapoor
239,Drama Club,Cultural,2025-08-16,Core Team,Very High,11,15,Participation Certificate,Active,Ms. Amit Kapoor
239,Football Team,Sports,2025-08-24,Active Member,High,6,8,,Inactive,Ms. Amit Kapoor
239,Robotics Club,Technical,2025-08-20,Member,High,8,9,,Active,Ms. Amit Kapoor
241,NSS,Social,2025-08-22,Member,Low,3,2,,Active,Ms. Amit Kapoor
241,Music Club,Cultural,2025-08-14,President/Head,Very High,14,19,Winner - Inter College Competition,Active,Ms. Amit Kapoor
243,NCC,Social,2025-08-13,Active Member,Medium,4,5,,Active,Ms. Amit Kapoor
243,Photography Club,Cultural,2025-08-13,Active Member,High,6,8,,Active,Ms. Amit Kapoor
245,Research Club,Academic,2025-08-21,Core Team,Very High,10,16,,Active,Ms. Amit Kapoor
245,AI/ML Club,Technical,2025-08-15,Active Member,High,10,7,,Active,Ms. Amit Kapoor
247,NSS,Social,2025-08-21,Member,High,6,6,,Active,Ms. Amit Kapoor
247,Music Club,Cultural,2025-08-12,Member,Medium,6,2,,Inactive,Ms. Amit Kapoor
247,Event Management Team,Other,2025-08-05,Active Member,High,9,9,,Active,Ms. Amit Kapoor
249,Mathematics Club,Academic,2025-08-20,Member,High,9,8,,Active,Ms. Amit Kapoor
249,Badminton Club,Sports,2025-08-14,Active Member,High,6,6,,Active,Ms. Amit Kapoor
250,Innovation Club,Academic,2025-08-27,Active Member,High,10,9,,Active,Ms. Amit Kapoor
250,Cricket Team,Sports,2025-08-17,Member,High,9,9,,Active,Ms. Amit Kapoor
250,Web Development Club,Technical,2025-08-17,Member,Low,3,2,,Active,Ms. Amit Kapoor
250,Student Council,Other,2025-08-29,Member,Low,1,1,,Active,Ms. Amit Kapoor
251,College Magazine,Other,2025-08-10,Member,Low,2,0,,Active,Ms. Amit Kapoor
251,Music Club,Cultural,2025-08-12,Member,Medium,3,5,,Active,Ms. Amit Kapoor
252,NCC,Social,2025-08-24,Member,High,9,10,Participation Certificate,Active,Ms. Amit Kapoor
252,Event Management Team,Other,2025-08-19,Active Member,Medium,3,5,,Active,Ms. Amit Kapoor
253,Drama Club,Cultural,2025-08-25,Active Member,High,9,8,,Active,Ms. Amit Kapoor
254,Music Club,Cultural,2025-08-03,Active Member,Medium,6,5,,Active,Ms. Amit Kapoor
255,NSS,Social,2025-08-11,Member,Low,1,1,,Active,Ms. Amit Kapoor
255,Mathematics Club,Academic,2025-08-11,Active Member,Medium,6,3,,Active,Ms. Amit Kapoor
258,Drama Club,Cultural,2025-08-12,Member,Medium,5,2,,Active,Ms. Amit Kapoor
259,College Magazine,Other,2025-08-14,Active Member,High,8,6,,Active,Ms. Amit Kapoor
260,Event Management Team,Other,2025-08-08,Member,Low,3,2,Best Performer Award,Active,Ms. Amit Kapoor
260,Quiz Club,Academic,2025-08-28,Member,Medium,6,4,Winner - Intra College Competition,Active,Ms. Amit Kapoor
260,Coding Club,Technical,2025-08-11,Core Team,High,7,6,,Active,Ms. Amit Kapoor
262,Cricket Team,Sports,2025-08-13,Core Team,Very High,14,11,,Active,Ms. Meera Patel
264,Event Management Team,Other,2025-08-07,Member,Low,3,1,,Active,Ms. Meera Patel
264,Quiz Club,Academic,2025-08-05,Active Member,Medium,3,5,Participation Certificate,Active,Ms. Meera Patel
265,Cricket Team,Sports,2025-08-19,Active Member,Medium,5,2,,Active,Ms. Meera Patel
265,Music Club,Cultural,2025-08-23,Member,Medium,3,2,,Active,Ms. Meera Patel
266,Coding Club,Technical,2025-08-29,Active Member,Medium,3,5,,Active,Ms. Meera Patel
266,Drama Club,Cultural,2025-08-21,Core Team,High,10,9,Winner - Intra College Competition,Active,Ms. Meera Patel
267,Student Council,Other,2025-08-06,Member,Low,3,1,,Active,Ms. Meera Patel
267,NSS,Social,2025-08-13,Member,Medium,6,5,,Active,Ms. Meera Patel
268,Event Management Team,Other,2025-08-07,Member,Medium,4,4,,Inactive,Ms. Meera Patel
268,Basketball Team,Sports,2025-08-15,Active Member,High,7,6,,Active,Ms. Meera Patel
269,Web Development Club,Technical,2025-08-03,Active Member,High,6,8,,Active,Ms. Meera Patel
269,Event Management Team,Other,2025-08-18,Member,Low,3,1,,Active,Ms. Meera Patel
269,Football Team,Sports,2025-08-04,Member,Low,3,1,,Active,Ms. Meera Patel
269,Photography Club,Cultural,2025-08-16,Active Member,Medium,6,2,,Active,Ms. Meera Patel
271,Quiz Club,Academic,2025-08-26,Member,Low,1,2,,Active,Ms. Meera Patel
271,Rotaract Club,Social,2025-08-10,Active Member,High,7,5,,Active,Ms. Meera Patel
272,Photography Club,Cultural,2025-08-13,Member,Low,3,2,,Active,Ms. Meera Patel
272,Web Development Club,Technical,2025-08-08,Active Member,High,8,10,,Active,Ms. Meera Patel
273,Dance Club,Cultural,2025-08-05,Active Member,Medium,6,4,,Active,Ms. Meera Patel
273,Football Team,Sports,2025-08-11,Member,Low,1,1,,Active,Ms. Meera Patel
273,Mathematics Club,Academic,2025-08-03,Core Team,Very High,13,13,,Active,Ms. Meera Patel
274,Badminton Club,Sports,2025-08-04,Member,Low,1,2,,Active,Ms. Meera Patel
274,College Magazine,Other,2025-08-05,Member,Low,1,1,,Active,Ms. Meera Patel
277,Music Club,Cultural,2025-08-11,Member,Medium,4,5,,Inactive,Ms. Meera Patel
277,NCC,Social,2025-08-12,Member,High,7,9,Participation Certificate,Active,Ms. Meera Patel
278,Robotics Club,Technical,2025-08-16,Member,Medium,3,2,,Inactive,Ms. Meera Patel
278,Event Management Team,Other,2025-08-30,Core Team,High,9,10,Winner - Inter College Competition,Inactive,Ms. Meera Patel
280,College Magazine,Other,2025-08-17,Member,Low,2,0,,Inactive,Ms. Meera Patel
280,Quiz Club,Academic,2025-08-29,Active Member,High,10,8,,Active,Ms. Meera Patel
280,Robotics Club,Technical,2025-08-28,Member,Low,2,1,,Active,Ms. Meera Patel
281,College Magazine,Other,2025-08-16,Member,High,8,5,,Active,Ms. Meera Patel
281,Quiz Club,Academic,2025-08-24,Member,Low,2,2,,Active,Ms. Meera Patel
282,NCC,Social,2025-08-29,Core Team,Very High,11,13,,Active,Ms. Meera Patel
284,Environmental Club,Social,2025-08-15,Core Team,Very High,10,13,,Active,Ms. Meera Patel
284,Badminton Club,Sports,2025-08-25,Member,Medium,6,4,,Active,Ms. Meera Patel
285,Mathematics Club,Academic,2025-08-10,Active Member,High,7,10,Winner - Inter College Competition,Inactive,Ms. Meera Patel
285,Web Development Club,Technical,2025-08-28,Member,Medium,5,4,,Inactive,Ms. Meera Patel
288,Drama Club,Cultural,2025-08-22,Core Team,Very High,10,20,,Inactive,Ms. Meera Patel
288,AI/ML Club,Technical,2025-08-24,Member,Low,3,2,,Active,Ms. Meera Patel
293,Robotics Club,Technical,2025-08-29,President/Head,Very High,10,15,,Active,Ms. Meera Patel
295,Environmental Club,Social,2025-08-10,Coordinator,Very High,10,19,,Active,Ms. Meera Patel
295,Robotics Club,Technical,2025-08-03,Active Member,High,7,7,,Active,Ms. Meera Patel
296,Rotaract Club,Social,2025-08-13,Member,Medium,4,3,,Active,Ms. Meera Patel
296,Photography Club,Cultural,2025-08-26,Member,Medium,4,5,,Active,Ms. Meera Patel
296,Cricket Team,Sports,2025-08-21,Member,High,9,7,,Active,Ms. Meera Patel
298,Research Club,Academic,2025-08-09,Member,Medium,5,2,Best Performer Award,Active,Ms. Meera Patel
298,Environmental Club,Social,2025-08-23,Member,Low,2,1,,Active,Ms. Meera Patel
299,Student Council,Other,2025-08-22,Active Member,Medium,6,5,Best Performer Award,Active,Ms. Meera Patel
299,Photography Club,Cultural,2025-08-13,Active Member,High,8,10,Best Performer Award,Active,Ms. Meera Patel
300,Basketball Team,Sports,2025-08-11,Member,Medium,3,4,,Active,Ms. Meera Patel
301,Quiz Club,Academic,2025-08-10,Active Member,High,10,10,,Inactive,Ms. Meera Patel
301,Coding Club,Technical,2025-08-11,Core Team,Very High,11,20,,Inactive,Ms. Meera Patel
301,NSS,Social,2025-08-27,Member,Medium,3,2,,Active,Ms. Meera Patel
303,Photography Club,Cultural,2025-08-14,Core Team,Very High,14,11,,Active,Ms. Meera Patel
303,Rotaract Club,Social,2025-08-03,Active Member,High,7,8,,Active,Ms. Meera Patel
303,Football Team,Sports,2025-08-26,Member,Low,2,2,,Active,Ms. Meera Patel
305,Basketball Team,Sports,2025-08-17,Member,Medium,3,3,,Active,Ms. Meera Patel
305,Web Development Club,Technical,2025-08-23,Core Team,High,8,10,,Active,Ms. Meera Patel
305,Drama Club,Cultural,2025-08-24,Member,Low,2,0,,Active,Ms. Meera Patel
306,Environmental Club,Social,2025-08-04,Member,High,7,9,,Active,Ms. Meera Patel
306,Drama Club,Cultural,2025-08-10,Active Member,Medium,5,5,,Active,Ms. Meera Patel
306,Basketball Team,Sports,2025-08-29,Member,Low,3,2,,Active,Ms. Meera Patel
311,Badminton Club,Sports,2025-08-02,Active Member,Medium,6,2,,Active,Dr. Amit Sinha
311,Drama Club,Cultural,2025-08-04,Member,Low,3,2,,Active,Dr. Amit Sinha
311,Research Club,Academic,2025-08-18,Member,Medium,6,5,,Active,Dr. Amit Sinha
314,Robotics Club,Technical,2025-08-07,Active Member,Medium,6,4,,Active,Dr. Amit Sinha
314,Football Team,Sports,2025-08-18,Member,Low,2,1,,Active,Dr. Amit Sinha
314,Drama Club,Cultural,2025-08-04,Core Team,Very High,14,10,,Active,Dr. Amit Sinha
316,Coding Club,Technical,2025-08-05,Active Member,High,10,6,,Active,Dr. Amit Sinha
316,Cricket Team,Sports,2025-08-27,Member,Low,1,1,,Active,Dr. Amit Sinha
317,Rotaract Club,Social,2025-08-23,Member,Low,2,2,,Active,Dr. Amit Sinha
318,Research Club,Academic,2025-08-22,Member,Low,1,0,,Active,Dr. Amit Sinha
319,Innovation Club,Academic,2025-08-31,Member,High,8,5,,Inactive,Dr. Amit Sinha
319,Event Management Team,Other,2025-08-10,Member,High,10,8,,Active,Dr. Amit Sinha
319,Badminton Club,Sports,2025-08-26,Member,Low,3,0,,Active,Dr. Amit Sinha
320,Cricket Team,Sports,2025-08-28,Member,Low,3,1,Participation Certificate,Active,Dr. Amit Sinha
320,Drama Club,Cultural,2025-08-17,Member,Medium,4,5,Winner - Intra College Competition,Active,Dr. Amit Sinha
321,Dance Club,Cultural,2025-08-24,Member,Medium,6,3,,Active,Dr. Amit Sinha
321,Web Development Club,Technical,2025-08-19,Member,High,6,8,,Active,Dr. Amit Sinha
322,Badminton Club,Sports,2025-08-30,Active Member,Medium,5,3,Certificate of Excellence,Active,Dr. Amit Sinha
322,Research Club,Academic,2025-08-10,Active Member,Medium,6,2,,Active,Dr. Amit Sinha
322,Rotaract Club,Social,2025-08-13,Member,Low,3,2,Winner - Inter College Competition,Inactive,Dr. Amit Sinha
325,Environmental Club,Social,2025-08-31,Member,High,6,8,,Active,Dr. Amit Sinha
325,Dance Club,Cultural,2025-08-29,Active Member,Medium,5,4,,Inactive,Dr. Amit Sinha
327,Cricket Team,Sports,2025-08-24,Member,High,9,7,,Active,Dr. Amit Sinha
327,Rotaract Club,Social,2025-08-27,Member,High,6,9,,Active,Dr. Amit Sinha
327,Quiz Club,Academic,2025-08-31,Member,High,10,5,,Active,Dr. Amit Sinha
327,Robotics Club,Technical,2025-08-25,Member,Medium,5,4,,Active,Dr. Amit Sinha
330,Event Management Team,Other,2025-08-20,Active Member,High,6,9,,Active,Dr. Amit Sinha
330,NSS,Social,2025-08-26,Member,Medium,4,3,,Active,Dr. Amit Sinha
334,Cricket Team,Sports,2025-08-09,Member,Low,1,1,,Active,Dr. Amit Sinha
335,AI/ML Club,Technical,2025-08-22,Active Member,Medium,3,2,,Active,Dr. Amit Sinha
335,NSS,Social,2025-08-24,President/Head,Very High,15,19,Certificate of Excellence,Active,Dr. Amit Sinha
335,Basketball Team,Sports,2025-08-24,Member,Medium,4,3,,Active,Dr. Amit Sinha
337,Web Development Club,Technical,2025-08-19,Member,Medium,6,4,,Active,Dr. Amit Sinha
337,NSS,Social,2025-08-30,Core Team,High,10,6,,Inactive,Dr. Amit Sinha
339,Drama Club,Cultural,2025-08-06,Member,Low,1,1,Winner - Intra College Competition,Active,Dr. Amit Sinha
340,Drama Club,Cultural,2025-08-24,Active Member,High,6,7,,Inactive,Dr. Amit Sinha
340,Rotaract Club,Social,2025-08-26,Active Member,Medium,4,3,,Active,Dr. Amit Sinha
342,Coding Club,Technical,2025-08-08,President/Head,Very High,13,17,,Active,Dr. Amit Sinha
342,Football Team,Sports,2025-08-19,Active Member,High,9,9,,Active,Dr. Amit Sinha
343,Web Development Club,Technical,2025-08-24,Active Member,High,10,8,,Inactive,Dr. Amit Sinha
347,Web Development Club,Technical,2025-08-23,Member,Low,3,1,,Active,Dr. Amit Sinha
347,Rotaract Club,Social,2025-08-14,Member,High,6,6,,Active,Dr. Amit Sinha
349,Badminton Club,Sports,2025-08-31,Core Team,Very High,13,11,,Active,Dr. Amit Sinha
349,Research Club,Academic,2025-08-02,Active Member,Medium,6,5,,Active,Dr. Amit Sinha
350,Cricket Team,Sports,2025-08-03,Active Member,High,6,7,,Active,Dr. Amit Sinha
350,Event Management Team,Other,2025-08-23,Member,Medium,3,5,,Inactive,Dr. Amit Sinha
352,Badminton Club,Sports,2025-08-15,Member,Medium,4,3,Participation Certificate,Active,Dr. Amit Sinha
352,Innovation Club,Academic,2025-08-09,Member,Medium,4,5,,Active,Dr. Amit Sinha
354,Environmental Club,Social,2025-08-20,Member,Low,1,2,,Active,Dr. Preeti Joshi
354,Quiz Club,Academic,2025-08-15,Active Member,Medium,3,2,Certificate of Excellence,Active,Dr. Preeti Joshi
355,NSS,Social,2025-08-05,Active Member,High,9,6,Participation Certificate,Inactive,Dr. Preeti Joshi
356,Badminton Club,Sports,2025-08-22,Member,Medium,5,5,,Active,Dr. Preeti Joshi
356,Research Club,Academic,2025-08-08,Core Team,Very High,13,19,,Active,Dr. Preeti Joshi
357,Badminton Club,Sports,2025-08-18,Member,Medium,6,4,,Active,Dr. Preeti Joshi
359,Drama Club,Cultural,2025-08-18,Active Member,High,9,7,,Active,Dr. Preeti Joshi
359,Student Council,Other,2025-08-28,Member,Medium,6,5,,Active,Dr. Preeti Joshi
363,Innovation Club,Academic,2025-08-30,Member,Low,2,0,,Active,Dr. Preeti Joshi
363,Robotics Club,Technical,2025-08-21,Member,Low,2,1,,Active,Dr. Preeti Joshi
364,Mathematics Club,Academic,2025-08-08,Active Member,Medium,3,2,,Active,Dr. Preeti Joshi
364,Badminton Club,Sports,2025-08-21,Member,High,9,5,,Active,Dr. Preeti Joshi
366,NSS,Social,2025-08-06,Member,Low,2,0,,Active,Dr. Preeti Joshi
367,Web Development Club,Technical,2025-08-26,Member,High,10,10,,Inactive,Dr. Preeti Joshi
367,Environmental Club,Social,2025-08-21,Member,High,6,8,,Active,Dr. Preeti Joshi
368,Research Club,Academic,2025-08-27,Active Member,High,8,7,,Active,Dr. Preeti Joshi
369,Robotics Club,Technical,2025-08-06,Member,Medium,3,2,,Active,Dr. Preeti Joshi
369,Photography Club,Cultural,2025-08-03,Core Team,Very High,11,12,,Active,Dr. Preeti Joshi
369,Cricket Team,Sports,2025-08-21,Member,Low,1,1,Participation Certificate,Active,Dr. Preeti Joshi
370,Innovation Club,Academic,2025-08-09,Member,Low,2,1,,Active,Dr. Preeti Joshi
370,Cricket Team,Sports,2025-08-26,Active Member,High,7,5,,Active,Dr. Preeti Joshi
371,Basketball Team,Sports,2025-08-17,Active Member,Medium,3,4,,Active,Dr. Preeti Joshi
372,Event Management Team,Other,2025-08-07,Member,High,8,5,,Active,Dr. Preeti Joshi
372,Drama Club,Cultural,2025-08-08,Active Member,Medium,3,5,,Inactive,Dr. Preeti Joshi
374,Student Council,Other,2025-08-03,Core Team,High,10,8,,Active,Dr. Preeti Joshi
375,Badminton Club,Sports,2025-08-23,Member,Low,3,2,,Active,Dr. Preeti Joshi
375,Student Council,Other,2025-08-10,Member,Low,1,0,,Active,Dr. Preeti Joshi
376,Rotaract Club,Social,2025-08-08,Member,Low,1,0,,Active,Dr. Preeti Joshi
376,Drama Club,Cultural,2025-08-10,Member,Medium,5,5,,Active,Dr. Preeti Joshi
377,Student Council,Other,2025-08-30,Member,Medium,3,5,Winner - Inter College Competition,Active,Dr. Preeti Joshi
377,AI/ML Club,Technical,2025-08-27,Member,Low,3,0,Certificate of Excellence,Active,Dr. Preeti Joshi
378,Research Club,Academic,2025-08-12,Active Member,High,8,5,,Active,Dr. Preeti Joshi
378,College Magazine,Other,2025-08-09,Member,Medium,4,4,,Active,Dr. Preeti Joshi
378,Drama Club,Cultural,2025-08-19,Member,Medium,5,5,,Active,Dr. Preeti Joshi
378,Web Development Club,Technical,2025-08-08,President/Head,Very High,13,18,,Active,Dr. Preeti Joshi
380,Event Management Team,Other,2025-08-02,Active Member,High,8,8,,Inactive,Dr. Preeti Joshi
380,Quiz Club,Academic,2025-08-10,Member,High,10,8,,Active,Dr. Preeti Joshi
381,Robotics Club,Technical,2025-08-31,Active Member,High,9,10,Winner - Inter College Competition,Active,Dr. Preeti Joshi
382,Quiz Club,Academic,2025-08-30,Member,Medium,6,5,,Active,Dr. Preeti Joshi
384,Dance Club,Cultural,2025-08-07,Member,High,7,5,,Active,Dr. Preeti Joshi
384,Research Club,Academic,2025-08-28,Active Member,Medium,3,4,,Active,Dr. Preeti Joshi
385,Drama Club,Cultural,2025-08-07,Member,Medium,3,3,,Active,Dr. Preeti Joshi
386,Innovation Club,Academic,2025-08-18,Member,Low,2,0,,Active,Dr. Preeti Joshi
388,Event Management Team,Other,2025-08-31,Member,Medium,3,5,,Active,Dr. Preeti Joshi
388,Drama Club,Cultural,2025-08-31,Member,Low,2,1,,Active,Dr. Preeti Joshi
388,Mathematics Club,Academic,2025-08-18,Active Member,Medium,4,3,,Active,Dr. Preeti Joshi
389,Research Club,Academic,2025-08-19,Member,High,8,5,,Active,Dr. Preeti Joshi
389,Event Management Team,Other,2025-08-29,Active Member,High,7,8,Certificate of Excellence,Active,Dr. Preeti Joshi
392,Basketball Team,Sports,2025-08-22,Coordinator,Very High,14,16,Winner - Intra College Competition,Active,Dr. Preeti Joshi
395,Web Development Club,Technical,2025-08-05,Active Member,High,6,5,Winner - Inter College Competition,Active,Prof. Alok Nair
396,Environmental Club,Social,2025-08-21,Member,Low,1,0,,Active,Prof. Alok Nair
397,Student Council,Other,2025-08-31,Coordinator,Very High,12,16,,Inactive,Prof. Alok Nair
397,Photography Club,Cultural,2025-08-12,Core Team,High,7,5,,Active,Prof. Alok Nair
397,AI/ML Club,Technical,2025-08-21,Member,Medium,6,5,,Active,Prof. Alok Nair
398,Innovation Club,Academic,2025-08-08,President/Head,Very High,13,11,Winner - Intra College Competition,Inactive,Prof. Alok Nair
398,College Magazine,Other,2025-08-12,Member,Low,1,2,,Active,Prof. Alok Nair
399,Music Club,Cultural,2025-08-02,Core Team,High,9,6,,Active,Prof. Alok Nair
400,Badminton Club,Sports,2025-08-09,Active Member,Medium,3,5,,Active,Prof. Alok Nair
400,Innovation Club,Academic,2025-08-13,President/Head,Very High,12,15,Certificate of Excellence,Active,Prof. Alok Nair
401,Dance Club,Cultural,2025-08-12,Member,Medium,6,2,,Active,Prof. Alok Nair
401,Robotics Club,Technical,2025-08-07,Member,Medium,6,4,Best Performer Award,Active,Prof. Alok Nair
401,Environmental Club,Social,2025-08-12,Active Member,Medium,3,4,,Active,Prof. Alok Nair
402,Music Club,Cultural,2025-08-21,Member,Low,3,0,,Active,Prof. Alok Nair
404,Student Council,Other,2025-08-16,Active Member,High,8,8,,Active,Prof. Alok Nair
404,Web Development Club,Technical,2025-08-06,Member,Medium,3,2,,Active,Prof. Alok Nair
405,Event Management Team,Other,2025-08-26,Active Member,Medium,4,4,,Active,Prof. Alok Nair
405,Environmental Club,Social,2025-08-08,Member,High,8,6,,Active,Prof. Alok Nair
406,Badminton Club,Sports,2025-08-31,Active Member,Medium,4,2,,Inactive,Prof. Alok Nair
406,Quiz Club,Academic,2025-08-02,Active Member,Medium,4,4,,Active,Prof. Alok Nair
407,Badminton Club,Sports,2025-08-24,Active Member,High,8,8,,Active,Prof. Alok Nair
410,Research Club,Academic,2025-08-05,Member,Low,3,0,,Active,Prof. Alok Nair
410,Event Management Team,Other,2025-08-20,Member,Medium,3,4,,Active,Prof. Alok Nair
411,Robotics Club,Technical,2025-08-03,Active Member,Medium,4,5,,Inactive,Prof. Alok Nair
412,Innovation Club,Academic,2025-08-08,Member,High,7,8,,Active,Prof. Alok Nair
412,Student Council,Other,2025-08-29,Member,High,6,9,,Active,Prof. Alok Nair
417,Environmental Club,Social,2025-08-22,Member,Low,3,1,,Active,Prof. Alok Nair
417,College Magazine,Other,2025-08-06,Active Member,Medium,3,4,Best Performer Award,Active,Prof. Alok Nair
417,Coding Club,Technical,2025-08-25,Member,High,10,10,,Active,Prof. Alok Nair
417,Football Team,Sports,2025-08-14,Member,High,10,9,,Active,Prof. Alok Nair
420,Innovation Club,Academic,2025-08-10,Active Member,Medium,3,3,,Active,Prof. Alok Nair
420,Robotics Club,Technical,2025-08-11,Member,Low,2,1,,Active,Prof. Alok Nair
421,NSS,Social,2025-08-03,Member,Low,1,2,,Active,Prof. Alok Nair
422,College Magazine,Other,2025-08-15,Member,High,8,5,Certificate of Excellence,Active,Prof. Alok Nair
424,Coding Club,Technical,2025-08-03,Core Team,High,6,6,Winner - Intra College Competition,Active,Prof. Alok Nair
424,Student Council,Other,2025-08-02,Active Member,High,8,10,,Active,Prof. Alok Nair
427,Music Club,Cultural,2025-08-21,Active Member,High,9,7,,Active,Prof. Alok Nair
427,Basketball Team,Sports,2025-08-19,Active Member,Medium,5,5,,Active,Prof. Alok Nair
427,NCC,Social,2025-08-10,Member,Medium,6,3,Certificate of Excellence,Active,Prof. Alok Nair
430,Music Club,Cultural,2025-08-21,Member,Medium,5,2,,Active,Prof. Alok Nair
430,NSS,Social,2025-08-08,Active Member,High,7,5,,Inactive,Prof. Alok Nair
431,Environmental Club,Social,2025-08-20,Member,Low,2,2,,Inactive,Prof. Alok Nair
431,Innovation Club,Academic,2025-08-04,Member,Medium,6,3,,Inactive,Prof. Alok Nair
431,Dance Club,Cultural,2025-08-28,Coordinator,Very High,15,10,,Inactive,Prof. Alok Nair
431,College Magazine,Other,2025-08-22,Member,Medium,3,3,,Active,Prof. Alok Nair
432,Photography Club,Cultural,2025-08-25,Active Member,High,8,5,Best Performer Award,Active,Prof. Alok Nair
432,Football Team,Sports,2025-08-22,Member,Low,1,2,Participation Certificate,Active,Prof. Alok Nair
432,Robotics Club,Technical,2025-08-20,Core Team,Very High,15,20,,Active,Prof. Alok Nair
433,Football Team,Sports,2025-08-28,Active Member,Medium,4,5,,Active,Prof. Alok Nair
434,Event Management Team,Other,2025-08-26,Member,High,8,9,,Inactive,Prof. Alok Nair
434,Mathematics Club,Academic,2025-08-23,Member,Low,2,1,,Active,Prof. Alok Nair
435,Web Development Club,Technical,2025-08-21,Active Member,Medium,6,4,,Inactive,Prof. Alok Nair
436,Music Club,Cultural,2025-08-05,Active Member,Medium,3,2,Certificate of Excellence,Active,Prof. Alok Nair
436,NSS,Social,2025-08-30,Core Team,High,6,7,,Inactive,Prof. Alok Nair
437,AI/ML Club,Technical,2025-08-02,Member,Medium,4,4,Winner - Inter College Competition,Inactive,Prof. Alok Nair
437,Event Management Team,Other,2025-08-26,Active Member,High,6,8,,Active,Prof. Alok Nair
441,Dance Club,Cultural,2025-08-11,Active Member,High,10,9,,Active,Mr. Preeti Shah
443,Basketball Team,Sports,2025-08-15,Member,Low,2,0,,Inactive,Mr. Preeti Shah
444,Innovation Club,Academic,2025-08-20,Member,Low,2,2,,Active,Mr. Preeti Shah
444,Environmental Club,Social,2025-08-15,Core Team,High,8,6,,Active,Mr. Preeti Shah
444,Dance Club,Cultural,2025-08-08,Member,Medium,6,3,,Active,Mr. Preeti Shah
445,Robotics Club,Technical,2025-08-11,Member,Low,1,2,,Active,Mr. Preeti Shah
445,Student Council,Other,2025-08-23,Active Member,High,10,8,Winner - Intra College Competition,Active,Mr. Preeti Shah
446,Cricket Team,Sports,2025-08-14,Member,Medium,5,5,,Active,Mr. Preeti Shah
446,Music Club,Cultural,2025-08-22,Member,Medium,3,2,,Active,Mr. Preeti Shah
447,Web Development Club,Technical,2025-08-05,Member,Low,3,0,,Active,Mr. Preeti Shah
448,College Magazine,Other,2025-08-31,Member,Low,1,1,,Active,Mr. Preeti Shah
448,Quiz Club,Academic,2025-08-05,Member,Low,1,0,,Inactive,Mr. Preeti Shah
448,Photography Club,Cultural,2025-08-03,Core Team,High,10,9,,Active,Mr. Preeti Shah
449,Football Team,Sports,2025-08-13,Member,Low,3,1,Certificate of Excellence,Active,Mr. Preeti Shah
453,Event Management Team,Other,2025-08-10,Member,High,8,7,,Active,Mr. Preeti Shah
454,Event Management Team,Other,2025-08-20,Member,Low,2,1,,Active,Mr. Preeti Shah
454,AI/ML Club,Technical,2025-08-02,Active Member,High,6,10,Best Performer Award,Active,Mr. Preeti Shah
454,Innovation Club,Academic,2025-08-19,Member,Low,3,0,,Inactive,Mr. Preeti Shah
455,Event Management Team,Other,2025-08-23,Member,High,8,5,Certificate of Excellence,Active,Mr. Preeti Shah
456,Coding Club,Technical,2025-08-21,Member,Medium,6,4,Participation Certificate,Active,Mr. Preeti Shah
456,Cricket Team,Sports,2025-08-14,President/Head,Very High,14,11,Best Performer Award,Active,Mr. Preeti Shah
459,Mathematics Club,Academic,2025-08-21,Active Member,High,8,5,,Inactive,Mr. Preeti Shah
459,Cricket Team,Sports,2025-08-18,Member,High,9,7,,Inactive,Mr. Preeti Shah
459,Event Management Team,Other,2025-08-13,Coordinator,Very High,14,16,,Active,Mr. Preeti Shah
461,Research Club,Academic,2025-08-28,Member,Medium,6,3,,Active,Mr. Preeti Shah
462,Web Development Club,Technical,2025-08-06,Member,Medium,3,3,,Active,Mr. Preeti Shah
464,NSS,Social,2025-08-03,Member,High,7,7,,Active,Mr. Preeti Shah
465,Web Development Club,Technical,2025-08-30,Core Team,Very High,14,19,,Inactive,Mr. Preeti Shah
466,College Magazine,Other,2025-08-04,Member,Low,2,0,,Active,Mr. Preeti Shah
467,Mathematics Club,Academic,2025-08-08,Active Member,High,7,8,,Active,Mr. Preeti Shah
467,NSS,Social,2025-08-19,Member,Low,1,0,,Active,Mr. Preeti Shah
467,Drama Club,Cultural,2025-08-11,Active Member,High,8,7,Winner - Intra College Competition,Inactive,Mr. Preeti Shah
468,Quiz Club,Academic,2025-08-19,Active Member,High,10,7,,Active,Mr. Preeti Shah
468,Environmental Club,Social,2025-08-12,Member,Medium,6,3,Participation Certificate,Active,Mr. Preeti Shah
468,Drama Club,Cultural,2025-08-28,Member,Low,2,0,,Active,Mr. Preeti Shah
469,Quiz Club,Academic,2025-08-11,Core Team,Very High,11,12,Winner - Inter College Competition,Active,Mr. Preeti Shah
469,AI/ML Club,Technical,2025-08-12,Member,Medium,6,3,Winner - Intra College Competition,Inactive,Mr. Preeti Shah
469,Cricket Team,Sports,2025-08-08,Member,Low,2,0,Participation Certificate,Active,Mr. Preeti Shah
469,NCC,Social,2025-08-29,Coordinator,Very High,11,13,,Active,Mr. Preeti Shah
471,Research Club,Academic,2025-08-16,Member,Low,2,1,,Active,Mr. Preeti Shah
471,Dance Club,Cultural,2025-08-26,Member,Medium,6,5,,Active,Mr. Preeti Shah
472,Robotics Club,Technical,2025-08-04,Member,High,6,8,,Active,Mr. Preeti Shah
